date,campaign,channel,category,impressions,clicks,leads,orders,spend,revenue
2026-01-01,Winter Launch,Paid Search,Acquisition,18240,684,92,24,1240.5,4210.0
2026-01-02,Winter Launch,Paid Social,Acquisition,27680,812,107,31,1568.25,5385.0
2026-01-03,Newsletter Push,Email,Retention,8400,512,64,28,220.0,3920.0
2026-01-04,Display Retargeting,Display,Retention,31900,391,48,15,880.0,2145.0
2026-01-05,Creator Test,Paid Social,Awareness,14880,446,51,12,760.0,1680.0
2026-01-06,Brand Terms,Paid Search,Acquisition,9700,603,88,33,540.0,6270.0
2026-01-07,Webinar Offer,Email,Lead Gen,6100,355,81,19,180.0,2850.0
2026-01-08,Competitor Terms,Paid Search,Acquisition,12860,482,63,17,910.75,2635.0
2026-01-09,Lookalike Test,Paid Social,Acquisition,22300,691,76,21,1185.0,3465.0
2026-01-10,Retargeting Offer,Display,Retention,28640,438,59,22,735.0,4070.0
